FPGA idle power [mW]:,3847.0

Program energy [mJ]:,8.12

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-8.6
20000,0.001,46.0
40000,0.002,74.4
60000,0.003,79.1
80000,0.004,63.3
100000,0.005,80.6
120000,0.006,66.2
140000,0.007,99.3
160000,0.008,105.0
180000,0.009,107.9
200000,0.010,106.5
220000,0.011,100.7
240000,0.012,106.5
260000,0.013,95.0
280000,0.014,100.7
300000,0.015,109.3
320000,0.016,116.5
340000,0.017,110.8
360000,0.018,102.2
380000,0.019,107.9
400000,0.020,105.4
420000,0.021,110.8
440000,0.022,113.7
460000,0.023,110.8
480000,0.024,107.9
500000,0.025,90.6
520000,0.026,109.3
540000,0.027,112.2
560000,0.028,100.7
580000,0.029,108.5
600000,0.030,110.8
620000,0.031,103.6
640000,0.032,105.0
660000,0.033,96.4
680000,0.034,99.3
700000,0.035,119.4
720000,0.036,109.3
740000,0.037,113.7
760000,0.038,99.2
780000,0.039,112.2
800000,0.040,113.7
820000,0.041,103.6
840000,0.042,107.9
860000,0.043,106.5
880000,0.044,107.9
900000,0.045,112.2
920000,0.046,113.7
940000,0.047,103.8
960000,0.048,106.5
980000,0.049,116.5
1000000,0.050,105.0
1020000,0.051,109.3
1040000,0.052,107.9
1060000,0.053,103.6
1080000,0.054,105.0
1100000,0.055,107.9
1120000,0.056,116.2
1140000,0.057,105.0
1160000,0.058,105.0
1180000,0.059,107.9
1200000,0.060,106.5
1220000,0.061,100.7
1240000,0.062,109.3
1260000,0.063,135.2
1280000,0.064,113.7
1300000,0.065,105.4
1320000,0.066,119.4
1340000,0.067,119.4
1360000,0.068,112.2
1380000,0.069,116.5
1400000,0.070,120.9
1420000,0.071,107.9
1440000,0.072,109.3
1460000,0.073,122.3
1480000,0.074,116.2
1500000,0.075,102.2
1520000,0.076,119.4
1540000,0.077,74.8
1560000,0.078,23.0
1580000,0.079,15.8
